ax, ay, bx, by, cx, cy, Цвет заливки, Цвет границы
35, 74, 41, 72, 26, 75, Dark turquoise, Dim gray
96, -19, 88, -25, 96, -27, Wheat, Light yellow
-85, -26, -98, -24, -100, -17, Hot pink, Fuchsia
-89, -80, -90, -72, -81, -70, Khaki, Chocolate
76, -65, 79, -62, 62, -56, Medium sea green, Beige
-77, 33, -86, 43, -86, 40, Green yellow, Midnight blue
62, 49, 51, 56, 64, 59, Teal, Sea green
26, 20, 16, 15, 19, 18, Dark red, Honeydew
-77, 27, -79, 33, -78, 27, Yellow, Light blue
69, 62, 56, 64, 67, 61, Light steel blue, Violet
-74, 29, -81, 32, -75, 30, Light steel blue, Teal
-57, -70, -70, -63, -61, -68, Sea green, Old lace
11, 62, 14, 63, 0, 68, Royal blue, Spring green
71, -6, 77, 3, 70, -2, Gold, Dark orchid
-40, -78, -46, -81, -38, -84, Chocolate, Lime
61, -86, 66, -86, 64, -98, Blue, Black
87, -86, 86, -87, 84, -89, Medium aqua marine, Lime
61, 72, 61, 74, 47, 72, White, Coral
20, 78, 17, 65, 14, 73, Light salmon, Old lace
13, 45, 6, 43, -1, 36, Slate gray, Blue violet
-88, 55, -98, 52, -85, 43, Medium turquoise, Olive drab
-5, 17, -4, 9, -2, 6, Dark cyan, Aqua
-71, 41, -60, 29, -67, 27, Olive, Dark slate gray
-32, -42, -25, -58, -28, -42, Powder blue, Antique white
52, -63, 54, -58, 52, -54, Gold, Burly wood
-75, -54, -92, -57, -79, -50, Peach puff, Lavender blush
-6, -2, -2, -9, 9, -3, Deep sky blue, Green
-42, 40, -46, 27, -36, 35, Golden rod, Crimson
3, -69, 0, -63, -2, -61, Olive, Golden rod
-75, 76, -74, 73, -69, 81, Navy, Peru
74, -11, 83, -17, 74, -12, Dark magenta, Light grey
10, 83, 17, 65, 20, 68, Orange red, Lime
-21, -88, -19, -87, -21, -91, Chart reuse, Lime
23, -55, 13, -48, 13, -50, White smoke, Silver
63, 36, 70, 36, 69, 22, Old lace, Peach puff
23, -8, 11, -11, 12, -12, Silver, Purple
68, 95, 67, 94, 76, 91, Plum, Lime
53, 10, 55, 8, 54, 8, Green, Firebrick
-12, 52, -9, 61, -13, 56, Aqua, Tan
-51, 50, -49, 50, -46, 44, Navajo white, Deep pink
-23, -64, -19, -52, -24, -63, Gainsboro, Thistle
-52, -20, -61, -20, -58, -30, Medium sea green, Light blue
40, 43, 37, 42, 29, 38, Dim gray, Orchid
-89, 59, -87, 53, -93, 50, Lavender, Pale green
-22, -7, -23, -3, -23, -15, Dark violet, Gray
-31, -21, -22, -34, -32, -33, Dark khaki, Gray
-28, 46, -28, 42, -33, 56, Dark magenta, Lavender
18, 96, 32, 94, 20, 90, Lavender, Dark blue
-49, -64, -56, -63, -47, -73, Turquoise, Silver
-66, -33, -62, -34, -60, -36, Magenta, Maroon
-54, -23, -53, -25, -61, -33, Dark orchid, White smoke
5, 30, -3, 39, 11, 41, Lemon chiffon, Tomato
-99, -9, -100, -3, -94, 1, Tomato, Teal
31, 91, 31, 81, 19, 80, Dark cyan, Dark gray
52, 86, 46, 84, 43, 75, Gainsboro, Light steel blue
-9, -67, -5, -53, -3, -58, Dark slate blue, Light steel blue
14, -22, 19, -13, 11, -24, Indigo, Navy
-71, 53, -72, 65, -77, 61, Spring green, Khaki
-98, 72, -86, 69, -84, 68, Peru, Sea shell
6, -1, 11, 0, 8, -1, Lime green, Green
-51, -96, -41, -93, -46, -100, Orange red, Navy
23, 59, 22, 62, 14, 54, Dark orchid, Indian red
-80, 15, -80, 14, -81, 23, Forest green, Silver
-72, 87, -76, 85, -72, 95, Medium sea green, Deep sky blue
-5, 32, 2, 41, 5, 34, Magenta, White smoke
-44, 5, -41, 16, -57, 17, Orange, Black
-70, -70, -80, -74, -76, -72, Medium spring green, Light coral
63, -75, 60, -75, 69, -90, Dark salmon, Light sea green
27, 80, 24, 76, 17, 72, Sea shell, Dark orchid
-14, -28, -13, -22, -19, -32, Peach puff, Sienna
-43, -61, -35, -56, -45, -61, Dark red, Light sea green
-89, 77, -97, 70, -88, 65, Yellow, Wheat
38, -56, 41, -60, 42, -63, Silver, Light blue
84, 93, 83, 92, 80, 96, Lawn green, Silver
-40, -21, -49, -28, -56, -24, Dark orange, Moccasin
-83, 97, -83, 98, -75, 100, White smoke, Medium aqua marine
-58, 69, -57, 73, -45, 70, Light grey, Aqua
-65, 90, -63, 86, -67, 100, Pale violet red, Sea shell
-40, 6, -36, 6, -28, 17, Tan, Cyan
-100, -98, -93, -91, -95, -91, Blanched almond, Blue
-67, 37, -67, 31, -73, 32, Red, Rosy brown
13, -19, 13, -27, 27, -30, Dark turquoise, Lavender
50, -32, 47, -24, 57, -36, Medium sea green, Light sky blue
-7, -16, -6, -20, 0, -18, Golden rod, Pale green
82, -80, 66, -80, 81, -86, Dark cyan, Dark khaki
45, 83, 38, 97, 42, 95, Navajo white, Coral
68, 5, 67, 21, 61, 6, Hot pink, Corn flower blue
8, 51, 1, 44, 9, 50, Spring green, Pale golden rod
-79, -14, -87, -11, -81, -11, Corn flower blue, Forest green
87, -92, 76, -88, 89, -84, Red, Sienna
0, -75, 7, -74, 6, -73, Dark grey, Deep sky blue
-30, -9, -37, -22, -42, -15, Medium spring green, Deep sky blue
-37, 3, -36, -8, -48, -7, Violet, Silver
-73, 33, -69, 27, -68, 29, Thistle, Light yellow
81, -24, 79, -36, 76, -37, Yellow, Light salmon
-16, -8, -32, -7, -28, -1, Light grey, Pink
-57, -15, -66, -19, -71, -25, Crimson, Tomato
19, 33, 36, 31, 25, 19, Dark orange, Medium spring green
-55, -82, -62, -84, -59, -96, Sea shell, Green yellow
-34, 72, -40, 65, -38, 60, Bisque, Dark olive green
-64, 45, -63, 44, -62, 41, Blue, Golden rod
94, -11, 94, -8, 98, -16, Spring green, Bisque
-1, -39, -1, -45, -2, -35, Indian red, Maroon
41, 7, 34, 25, 43, 19, Maroon, Black
-88, -8, -95, -2, -79, -5, Dark sea green, Dark cyan
8, -19, 11, -19, 20, -22, Light salmon, Dark sea green
-65, -42, -63, -42, -62, -30, Pale golden rod, Azure
-80, 60, -89, 63, -79, 66, Sienna, Maroon
49, -53, 51, -44, 46, -45, Fuchsia, Lavender blush
52, -83, 44, -77, 55, -87, Slate blue, Gray
-34, 84, -34, 91, -42, 93, Cadet blue, Sienna
-78, 27, -87, 36, -72, 37, Black, Peru
38, -54, 35, -47, 37, -44, Royal blue, Grey
-77, -43, -76, -29, -62, -35, Dark magenta, Midnight blue
66, 8, 77, 3, 72, 7, Coral, White
79, -34, 80, -30, 90, -36, Gainsboro, Fuchsia
27, -41, 35, -25, 34, -30, Sienna, Saddle brown
37, -74, 29, -68, 29, -80, Teal, Dodger blue
-86, -8, -69, -4, -78, -10, Cyan, Gold
44, -45, 40, -49, 57, -50, Lavender blush, Green yellow
-90, -19, -89, -23, -86, -13, Deep sky blue, Floral white
34, 75, 35, 79, 44, 78, Peru, Dark green
-12, 30, -22, 37, -20, 32, Indian red, Hot pink
-57, 85, -49, 76, -62, 73, Dark gray, Olive
78, -53, 83, -50, 81, -57, Firebrick, Orange red
3, 46, 12, 48, 8, 51, Pale violet red, Navajo white
74, 63, 87, 58, 76, 61, Thistle, Orange
65, 35, 65, 35, 58, 43, Olive drab, Yellow
-12, -13, -18, -13, -16, -13, Lawn green, Gray
-52, -28, -47, -22, -51, -34, Olive, Corn flower blue
53, 76, 48, 67, 57, 62, Golden rod, Teal
58, -72, 50, -79, 63, -82, Dark violet, Light slate gray
-66, 91, -72, 79, -77, 93, Rosy brown, Orange
1, 39, -6, 39, -2, 51, Khaki, Cadet blue
56, 71, 57, 74, 61, 80, Blue violet, Green
-61, -69, -51, -70, -48, -69, White, Rosy brown
-83, -35, -72, -33, -78, -30, Black, Black
81, 94, 85, 100, 85, 98, Olive drab, Royal blue
-23, -5, -23, 0, -36, 7, Maroon, Orchid
85, 54, 81, 54, 79, 47, Lawn green, Azure
-7, 6, 8, 3, 6, 3, Snow, Green
-33, 40, -32, 33, -28, 41, Red, Deep pink
46, 16, 60, 8, 43, 13, Red, Olive drab
-58, -32, -45, -23, -42, -22, Fuchsia, Coral
-96, -59, -98, -51, -92, -61, Royal blue, Cyan
79, 56, 94, 56, 88, 57, Beige, Dark cyan
81, 27, 81, 14, 89, 17, Dark khaki, Slate gray
71, 68, 76, 61, 67, 72, Dim grey, Coral
-32, -7, -45, -9, -35, -8, Medium purple, Dark sea green
-79, 87, -84, 85, -78, 85, Deep sky blue, Purple
100, -2, 90, 1, 91, 1, Tan, Fuchsia
49, 90, 45, 96, 45, 97, Sea shell, Magenta
-57, 94, -44, 85, -46, 100, Corn flower blue, Aqua
74, 66, 73, 59, 81, 65, Dark magenta, Chart reuse
-5, 1, 4, 3, 2, 15, Gray, Wheat
-75, 30, -76, 40, -71, 31, Mint cream, Sea shell
-50, 46, -52, 60, -43, 54, White, Coral
17, -80, 13, -76, 13, -75, Peach puff, Dark olive green
-95, 30, -89, 24, -98, 32, Light grey, Dark gray
-87, -78, -82, -63, -79, -66, Dark olive green, Dark slate gray
75, 65, 64, 54, 81, 58, Moccasin, Medium turquoise
-58, 58, -65, 57, -56, 57, Lawn green, Black
28, -45, 38, -46, 28, -37, Dark blue, Sea green
-62, 14, -58, 9, -57, 14, Blue, Antique white
-94, 14, -92, 17, -98, 21, Medium blue, Plum
-43, -23, -37, -13, -40, -28, Bisque, Medium purple
40, -5, 31, -4, 44, -7, Tomato, Corn silk
17, -49, 18, -51, 15, -37, Brown, Dark golden rod
-40, -82, -41, -90, -31, -94, Violet, Powder blue
40, -83, 33, -90, 45, -97, Black, Lime
-5, 60, -12, 70, -18, 62, White, Light green
7, -79, -4, -72, 5, -83, Dark magenta, Gold
45, 85, 42, 92, 47, 88, Tomato, Lavender
-2, 27, -1, 31, 11, 30, Maroon, Slate gray
-86, 47, -87, 45, -75, 33, Sea shell, Snow
-90, -65, -100, -59, -95, -74, Medium violet red, Light sky blue
-18, 31, -30, 30, -24, 34, Lime, Cadet blue
-66, -93, -65, -95, -72, -93, Deep sky blue, Yellow
48, -89, 48, -81, 45, -76, Corn flower blue, Sienna
-4, -93, -22, -96, -13, -97, Silver, Royal blue
-27, -63, -27, -61, -16, -72, Slate blue, Fuchsia
35, -48, 34, -44, 35, -37, Hot pink, White
-87, 53, -94, 43, -86, 55, Aqua, Burly wood
-92, 3, -81, -1, -89, 3, Royal blue, Light golden rod yellow
50, -48, 49, -49, 46, -54, Azure, Deep pink
39, -7, 32, -22, 31, -19, Yellow, Blue violet
73, -79, 77, -91, 80, -91, Slate gray, Blue
-63, -41, -69, -55, -71, -43, Tomato, Orange
95, 61, 90, 64, 85, 63, White smoke, Lavender blush
36, 57, 29, 47, 32, 61, Teal, Tan
